Size,Length_STD,Length_ADV,CR_STD,CR_ADV
647, 4276104, 3359796, 1.793327758164909, 2.2824171467553387
648, 4275320, 3359180, 1.7936566151773434, 2.2828356920438915
649, 4274368, 3358432, 1.7940561037327625, 2.2833441320235157
650, 4273780, 3357970, 1.7943029355745967, 2.283658281640396
651, 4272940, 3357310, 1.794655670334711, 2.284107216789632
652, 4272212, 3356738, 1.7949614859936727, 2.2844964367192198
653, 4271428, 3356122, 1.7952909425138384, 2.2849157450176127
654, 4270700, 3355550, 1.795596974734821, 2.2853052405715903
655, 4269972, 3354978, 1.7959031113084583, 2.285694868938038
656, 4269412, 3354538, 1.79613867202322, 2.2859946734840983
657, 4268320, 3353680, 1.796598193200135, 2.2865795186183537
658, 4267144, 3352756, 1.797093325184245, 2.28720968659813
659, 4265464, 3351436, 1.7978011301935732, 2.288110529337275
660, 4264736, 3350864, 1.7981080188785425, 2.288501114936327
661, 4263756, 3350094, 1.7985213037519032, 2.2890271138660587
662, 4263112, 3349588, 1.7987929944134706, 2.289372901980781
663, 4262328, 3348972, 1.799123859074196, 2.2897940024580676
664, 4261600, 3348400, 1.799431199549465, 2.2901851630629553
665, 4260956, 3347894, 1.7997031652051794, 2.2905313011702284
666, 4260200, 3347300, 1.800022534153326, 2.2909377707405967
667, 4259696, 3346904, 1.800235509764077, 2.2912088306088254
668, 4258688, 3346112, 1.8006616122148418, 2.2917511428188897
669, 4257904, 3345496, 1.8009931647120274, 2.2921731187243983
670, 4257148, 3344902, 1.8013129917024262, 2.2925801712576335
671, 4256308, 3344242, 1.8016684882766942, 2.2930326214430656
672, 4255496, 3343604, 1.8020122683701265, 2.2934701597437974
673, 4254908, 3343142, 1.8022612944862733, 2.2937871020734386
674, 4254292, 3342658, 1.802522252821386, 2.2941192308635823
675, 4253732, 3342218, 1.8027595532581742, 2.2944212496013128
676, 4252920, 3341580, 1.8031037498941904, 2.2948593180471515
677, 4252164, 3340986, 1.8034243270014985, 2.2952673252746343
678, 4251352, 3340348, 1.80376877755594, 2.295705716889378
679, 4250540, 3339710, 1.804113359714295, 2.296144276000012
680, 4249840, 3339160, 1.804410518984244, 2.2965224787072196
681, 4249168, 3338632, 1.8046958839942313, 2.2968856705381127
682, 4248496, 3338104, 1.804981339278653, 2.2972489772637403
683, 4247908, 3337642, 1.8052311867394493, 2.297566964941117
684, 4247320, 3337180, 1.8054811033781302, 2.2978850406630746
685, 4246648, 3336652, 1.8057668071382418, 2.2982486636304893
686, 4245892, 3336058, 1.8060883319688772, 2.298657877051298
687, 4245108, 3335442, 1.8064218860862904, 2.2990824004734605
688, 4244296, 3334804, 1.8067674827580358, 2.2995222507829545
689, 4243764, 3334386, 1.8069939798725847, 2.2998105198378354
690, 4242728, 3333572, 1.8074352162099478, 2.3003720933581158
691, 4242112, 3333088, 1.8076976751203175, 2.300706131971313
692, 4241328, 3332472, 1.8080318239947488, 2.301131412356953
693, 4240460, 3331790, 1.808401918659768, 2.301602441930614
694, 4239844, 3331306, 1.8086646584166777, 2.3019368379848624
695, 4239060, 3330690, 1.8089991649092017, 2.302362573520802
696, 4238444, 3330206, 1.8092620782532458, 2.302697190504131
697, 4237856, 3329744, 1.8095131122907433, 2.303016688370037
698, 4237044, 3329106, 1.8098598928875886, 2.3034580454932945
699, 4236316, 3328534, 1.8101709126514642, 2.303853888829136
700, 4235644, 3328006, 1.8104581027111817, 2.304219403450595
701, 4234860, 3327390, 1.8107932729771468, 2.304645983789096
702, 4234188, 3326862, 1.8110806605658512, 2.3050117498110834
703, 4233432, 3326268, 1.8114040806607972, 2.3054233753864692
704, 4232620, 3325630, 1.811751586487802, 2.3058656555299297
705, 4231836, 3325014, 1.8120872358947748, 2.3062928456842586
706, 4231360, 3324640, 1.8122910837177646, 2.306552288368064
707, 4230380, 3323870, 1.8127109148587124, 2.3070866189110886
708, 4229120, 3322880, 1.8132509836561743, 2.3077739791987675
709, 4228364, 3322286, 1.813575179431099, 2.308186592003217
710, 4227188, 3321362, 1.8140797144579328, 2.3088287274919144
711, 4226572, 3320878, 1.8143441067607509, 2.3091652267864102
712, 4225508, 3320042, 1.8148009659430298, 2.3097466839274925
713, 4224892, 3319558, 1.8150655685399768, 2.3100834508690613
714, 4223380, 3318370, 1.8157153748893067, 2.310910477131845
